Text,Sentiment,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
 regret for decisions that led to a painful present, Regret         , RegretfulMind    , Twitter  , #Regret #PastChoices                        ,12.0,25.0, USA          ,2018,12,15,16
 disgust at the corruption that stains society     , Disgust         , CorruptedHeart   , Instagram , #Disgust #Corruption                        ,7.0,15.0, UK            ,2016,7,1,9
 sinking in despair each day darker than the last , Despair         , DrowningSoul     , Facebook , #Despair #DarkDays                          ,10.0,20.0, India         ,2020,8,20,20
 grief overwhelms a storm of emotions within      , Grief           , StormyHeart      , Twitter  , #Grief #EmotionalStorm                      ,12.0,25.0, Canada        ,2021,2,25,15
 loneliness echoes in empty spaces yearning for connection, Loneliness , EchoingSoul     , Instagram , #Loneliness #YearningForConnection         ,15.0,30.0, Australia     ,2019,9,12,18
 jealousy poisons my thoughts resentment brewing within, Jealousy    , PoisonedMind    , Facebook , #Jealousy #Resentment                       ,8.0,15.0, USA           ,2018,8,5,16
 resentment festers a wound that refuses to heal  , Resentment      , UnforgivingSoul  , Twitter  , #Resentment #Unforgiving                    ,10.0,20.0, India         ,2017,1,12,12
 frustration escalates a thunderstorm of emotions , Frustration     , ThunderingMind   , Instagram , #Frustration #EmotionalOutburst            ,12.0,25.0, UK            ,2022,4,5,14
 boredom lingers a stagnant pool of indifference  , Boredom         , StagnantHeart    , Facebook , #Boredom #Stagnation                        ,7.0,15.0, Canada        ,2021,10,2,19
 embarking on a journey of discovery fueled by curiosity and a thirst for knowledge , Curiosity       , InquisitiveMind   , Twitter  , #Curiosity #Learning                        ,15.0,30.0, USA          ,2023,4,15,10
 lost in the vast sea of information an indifferent wave in the digital ocean , Indifference    , ApatheticObserver , Instagram , #Indifference #DigitalOverload              ,7.0,15.0, Canada          ,2022,11,28,17
 the complex puzzle of life leaves me in a state of perpetual confusion seeking answers in the chaos , Confusion       , SeekingClarity    , Facebook , #Confusion #LifePuzzle                     ,10.0,20.0, UK           ,2020,4,2,9
 a numbness settles over me a shield against the overwhelming emotions life throws my way , Numbness        , EmotionallyDistant , Twitter  , #Numbness #EmotionalShield                 ,8.0,15.0, India        ,2021,8,10,14
 gazing at the sunset a melancholic longing for moments that slip through the fingers of time , Melancholy      , SunsetDreamer     , Instagram , #Melancholy #SunsetMoments                 ,12.0,25.0, Australia     ,2019,6,18,20
 revisiting old photographs caught in the embrace of nostalgias bittersweet symphony , Nostalgia       , MemoryLaneTraveler , Facebook , #Nostalgia #MemoryLane                     ,10.0,20.0, USA          ,2018,2,5,15
 torn between conflicting emotions an ambivalence that paints my decisions in shades of uncertainty , Ambivalence     , MixedFeelings     , Twitter  , #Ambivalence #UncertainChoices             ,12.0,25.0, Canada        ,2022,5,30,11
 embracing the ebb and flow of life finding acceptance in the dance of existence , Acceptance      , ZenLifestyle      , Instagram , #Acceptance #LifeJourney                   ,15.0,30.0, UK           ,2023,1,10,16
 facing challenges headon a determination that fuels the fire within to achieve the impossible , Determination   , ResilientSpirit   , Facebook , #Determination #AchieveTheImpossible       ,10.0,20.0, India        ,2020,9,18,13
 serenity found in the stillness of nature a tranquil retreat from the chaos of the modern world , Serenity        , NatureSoul        , Twitter  , #Serenity #NatureRetreat                   ,12.0,25.0, Australia    ,2021,7,3,19
 curiosity leading me down the rabbit hole of knowledge a perpetual student in lifes classroom , Curiosity       , EternalLearner    , Instagram , #Curiosity #KnowledgeQuest                ,20.0,40.0, USA          ,2022,10,8,8
 floating through the day with an air of indifference detached from the mundane happenings around , Indifference    , AloofObserver     , Facebook , #Indifference #FloatingThroughLife        ,10.0,20.0, Canada        ,2023,3,22,16
 entangled in the web of thoughts confusion reigning as i navigate the labyrinth of ideas , Confusion       , ThoughtExplorer   , Twitter  , #Confusion #ThoughtLabyrinth              ,15.0,30.0, UK            ,2021,5,15,11
 numb to the chaos emotions locked away a stoic facade concealing the inner turmoil , Numbness        , StoicSoul         , Instagram , #Numbness #StoicFacade                    ,8.0,15.0, Australia     ,2019,12,28,14
 melancholy whispers in the breeze a silent conversation with the echoes of forgotten dreams , Melancholy      , DreamerInSilence  , Facebook , #Melancholy #WhispersInTheBreeze         ,12.0,25.0, India         ,2020,3,1,19
 stumbling upon an old journal nostalgia flooding in waves carrying me to moments long gone , Nostalgia       , JournalKeeper     , Twitter  , #Nostalgia #JournalMoments               ,10.0,20.0, Canada        ,2018,7,10,15
 a tapestry of conflicting feelings weaving through uncertainty caught in the threads of ambivalence , Ambivalence     , ThreadWeaver      , Instagram , #Ambivalence #ConflictingFeelings        ,12.0,25.0, UK            ,2022,1,5,10
 embracing the flaws finding acceptance in imperfection a journey towards selflove , Acceptance      , SelfLoveAdvocate  , Facebook , #Acceptance #SelfLoveJourney              ,15.0,30.0, Australia    ,2021,8,20,16
 determination burning like a wildfire overcoming obstacles turning dreams into reality , Determination   , DreamChaser       , Twitter  , #Determination #DreamsIntoReality        ,18.0,35.0, USA          ,2019,11,3,13
 tranquil moments by the ocean serenity washing over a peaceful retreat within the waves embrace , Serenity        , OceanSoul         , Instagram , #Serenity #OceanRetreat                   ,25.0,50.0, Canada        ,2020,4,12,19
 exploring new horizons with the spark of curiosity an adventurer in the vast landscape of knowledge , Curiosity       , HorizonExplorer   , Facebook , #Curiosity #NewHorizons                  ,22.0,45.0, India         ,2022,4,15,8
 drifting through the day with a nonchalant demeanor embracing the art of indifference , Indifference    , NonchalantSpirit  , Twitter  , #Indifference #DriftingThroughLife       ,9.0,18.0, UK            ,2023,2,10,17
 wrestling with thoughts a perplexed mind lost in the labyrinth of lifes complexities , Confusion       , ComplexThinker    , Instagram , #Confusion #PerplexedMind                ,14.0,28.0, Australia    ,2020,8,5,12
 immersed in a state of emotional numbness a shield against the storm of daily struggles , Numbness        , ShieldedHeart     , Facebook , #Numbness #EmotionalShield               ,10.0,20.0, USA          ,2021,12,1,15
 a melancholic symphony playing in the background the soundtrack of a wistful heart , Melancholy      , SymphonySoul      , Twitter  , #Melancholy #WistfulHeart                ,13.0,26.0, Canada        ,2019,3,25,21
 flipping through the pages of an old yearbook nostalgia painting smiles and tears on my face , Nostalgia       , YearbookExplorer  , Instagram , #Nostalgia #YearbookMemories            ,12.0,25.0, India         ,2017,6,18,14
 torn between opposing emotions an ambivalence that colors my decisions with shades of uncertainty , Ambivalence     , DecisiveDilemma   , Facebook , #Ambivalence #ShadesOfUncertainty       ,15.0,30.0, Australia    ,2022,7,8,11
 embracing lifes imperfections finding acceptance in the journey scars and all , Acceptance      , ImperfectHarmony  , Twitter  , #Acceptance #ImperfectJourney            ,18.0,36.0, Canada        ,2023,5,15,16
 a fiery determination burning within fueled by the vision of reaching unparalleled heights , Determination   , VisionarySpirit   , Instagram , #Determination #UnparalleledHeights      ,20.0,40.0, UK            ,2021,9,10,14
 basking in the serenity of a quiet forest where the whispers of nature bring peace to the soul , Serenity        , ForestDreamer     , Facebook , #Serenity #NatureWhispers                ,25.0,50.0, USA          ,2020,2,28,18
 indifferent to the noise of the world a silent observer in the midst of lifes cacophony , Indifference    , SilentSpectator   , Instagram , #Indifference #SilentObserver            ,9.0,18.0, India         ,2023,3,10,16
 navigating through the labyrinth of thoughts confusion a constant companion in the maze of ideas , Confusion       , MazeNavigator     , Facebook , #Confusion #ThoughtLabyrinth              ,14.0,28.0, Australia    ,2021,5,2,11
 an impenetrable numbness shields me from the emotional storms a fortress of stoic resilience , Numbness        , ResilientFortress , Twitter  , #Numbness #StoicResilience               ,11.0,22.0, UK            ,2019,10,18,14
 melancholy painting the world in hues of nostalgia a canvas of bittersweet memories , Melancholy      , CanvasDreamer     , Instagram , #Melancholy #BittersweetMemories         ,13.0,26.0, USA          ,2020,1,5,20
 a journey into the past flipping through the pages of an old diary nostalgia taking the lead , Nostalgia       , DiaryExplorer     , Facebook , #Nostalgia #DiaryJourney                 ,12.0,25.0, Canada        ,2018,8,10,15
 ambivalence clouding decisions caught in the crossroads of conflicting emotions , Ambivalence     , CrossroadsTraveler , Twitter  , #Ambivalence #ConflictingEmotions        ,15.0,30.0, India         ,2022,1,15,10
 embracing imperfections finding acceptance in the mosaic of lifes beautiful chaos , Acceptance      , MosaicDreamer     , Instagram , #Acceptance #BeautifulChaos              ,18.0,36.0, Australia     ,2021,7,20,16
 determination as the driving force propelling me forward on the path to extraordinary achievements , Determination   , PathfinderSpirit  , Facebook , #Determination #ExtraordinaryPath        ,20.0,40.0, USA          ,2019,12,3,13
 seeking serenity in the melody of raindrops a tranquil escape from the noise of everyday life , Serenity        , RaindropHarmony   , Twitter  , #Serenity #RaindropMelody                ,25.0,50.0, Canada        ,2020,4,12,19
 curiosity driving the exploration of the unknown a seeker of knowledge in uncharted territories , Curiosity       , SeekerOfUnknowns  , Instagram , #Curiosity #SeekerOfKnowledge            ,22.0,45.0, UK            ,2022,5,8,8
 drifting through the day with an air of nonchalance indifferent to the trivialities of life , Indifference    , NonchalantWanderer, Facebook , #Indifference #DriftingThroughLife       ,9.0,18.0, India         ,2023,2,22,17
 lost in the labyrinth of thoughts confusion casting shadows on the quest for clarity , Confusion       , ShadowedSeeker    , Twitter  , #Confusion #LabyrinthOfThoughts          ,14.0,28.0, Australia    ,2020,6,5,12
 wrapped in the cloak of emotional numbness a shield against the storms of lifes turbulence , Numbness        , TurbulentShield   , Instagram , #Numbness #EmotionalStorms               ,10.0,20.0, Canada        ,2021,11,30,15
 melancholy as a companion painting the canvas of life with the brushstrokes of wistful yearning , Melancholy      , WistfulPainter    , Facebook , #Melancholy #WistfulYearning             ,13.0,26.0, UK            ,2019,2,25,21
 leafing through the pages of an old photo album nostalgia weaving tales of laughter and tears , Nostalgia       , TaleWeaver        , Twitter  , #Nostalgia #PhotoAlbumStories            ,12.0,25.0, USA          ,2017,5,18,14
 ambivalence in the air caught between the crossroads of conflicting emotions and decisions , Ambivalence     , CrossroadsExplorer, Instagram , #Ambivalence #CrossroadsConfusion        ,15.0,30.0, Canada        ,2022,8,5,11
 embracing the beauty in imperfections finding acceptance in the mosaic of lifes unpredictable art , Acceptance      , MosaicArtist      , Facebook , #Acceptance #UnpredictableArt            ,18.0,36.0, Australia    ,2023,6,15,16
 determination ablaze forging a path through challenges sculpting dreams into tangible realities , Determination   , DreamSculptor     , Twitter  , #Determination #SculptingDreams          ,20.0,40.0, UK            ,2021,10,10,14
 immerse in the serenity of a moonlit night where the quiet whispers of nature bring peace to the soul , Serenity        , MoonlitSoul       , Instagram , #Serenity #MoonlitPeace                  ,25.0,50.0, USA          ,2020,5,12,19
 fueled by curiosity venturing into uncharted realms a fearless explorer of the mysteries of the world , Curiosity       , FearlessExplorer  , Facebook , #Curiosity #FearlessExplorer              ,22.0,44.0, India         ,2022,12,1,9
wrapped in the cloak of emotional numbness a shield against the storms of lifes turbulence , Numbness , TurbulentShield , Instagram , #Numbness #EmotionalStorms ,10.0,20.0, Canada ,2021,11,30,15
 dancing through life with the exuberance of a carefree spirit embracing joy and zest at every turn , Zest , JoyfulDancer , Twitter , #Zest #CarefreeSpirit ,15.0,30.0, USA ,2018,7,12,17
 basking in the golden glow of contentment a serene river flowing through the landscape of the heart , Contentment , SereneBasker , Facebook , #Contentment #GoldenGlow ,18.0,36.0, Australia ,2020,9,5,20
 gazing towards the horizon with hopeful eyes painting a canvas of dreams illuminated by the sun of optimism , Hopeful , DreamPainter , Instagram , #Hopeful #CanvasOfDreams ,12.0,24.0, India ,2022,4,18,8
 standing tall proud as an oak the branches of achievement reaching towards the sky of accomplishment , Proud , OakAchiever , Twitter , #Proud #BranchesOfAchievement ,25.0,50.0, Canada ,2019,12,10,12
 a heart overflowing with gratitude a garden where appreciation blooms in the soil of kindness and connection , Grateful , HeartGardener , Facebook , #Grateful #BlossomingConnection ,20.0,40.0, USA ,2023,2,28,9
 extending a hand empathetic threads weaving a tapestry of understanding embracing the joys and sorrows of others , Empathetic , ThreadWeaver , Instagram , #Empathetic #TapestryOfUnderstanding ,15.0,30.0, UK ,2018,4,3,14
 compassionate clouds heavy with care showering empathy on the parched grounds of human suffering , Compassionate , CloudCaretaker , Twitter , #Compassionate #ShowerOfEmpathy ,18.0,36.0, Australia ,2022,6,20,10
 playfully dancing in the rain of laughter a whimsical spirit twirling in the puddles of joy and lightheartedness , Playful , RainDancer , Facebook , #Playful #DanceInTheRain ,22.0,44.0, Canada ,2020,7,8,18
 soaring on the wings of a free spirit unburdened by the chains of conformity painting the sky with independence , Free-spirited , SkyPainter , Instagram , #FreeSpirit #PaintingTheSky ,20.0,40.0, India ,2021,8,15,11
 bathed in the glow of inspiration a creative phoenix rising from the ashes of ordinary thoughts to explore new realms , Inspired , PhoenixExplorer , Twitter , #Inspired #CreativePhoenix ,15.0,30.0, UK ,2019,10,25,16
 navigating the sea of hope sailing towards the sunrise of possibilities confident in the ship of positive anticipation , Hopeful , SunriseNavigator , Facebook , #Hopeful #SunriseOfPossibilities ,12.0,24.0, USA ,2023,10,5,7
 striding with confidence footprints of selfassuredness imprinted on the sands of challenges conquered and victories claimed , Confident , SandStrider , Instagram , #Confident #FootprintsOfAssuredness ,25.0,50.0, Australia ,2022,2,15,13
 lost in the symphony of the night a moonlit serenade that whispers tales of wanderlust and moonlit dreams , Serenity , NightSerenader , Twitter , #Serenity #MoonlitSerenade ,13.0,26.0, Canada ,2021,5,8,22
 unveiling the layers of curiosity a labyrinth of questions leading to the treasure troves of undiscovered knowledge , Curiosity , KnowledgeSeeker , Instagram , #Curiosity #LabyrinthOfQuestions ,17.0,34.0, USA ,2020,11,29,14
 in the embrace of the autumn breeze leaves of ambivalence dancing in a waltz between choices and uncertainties , Ambivalence , BreezeWaltzer , Facebook , #Ambivalence #AutumnWaltz ,14.0,28.0, UK ,2019,9,14,10
 gratitude as a guiding star navigating the constellation of blessings in the vast universe of lifes precious moments , Grateful , StarNavigator , Twitter , #Grateful #GuidingStar ,19.0,38.0, Australia ,2022,3,12,19
 with a zestful heart sprinting through fields of enthusiasm chasing sunbeams and laughter in the meadows of joy , Zest , MeadowSprinter , Instagram , #Zest #FieldsOfEnthusiasm ,16.0,32.0, India ,2023,3,30,16
 a compassionate rain tears of empathy falling gently nurturing the seeds of kindness in the garden of human connections , Compassionate , RainNurturer , Facebook , #Compassionate #TearsOfEmpathy ,21.0,42.0, Canada ,2021,7,1,12
 proudly scaling the peaks of achievement a mountaineer conquering challenges and planting the flag of success , Proud , PeakConqueror , Twitter , #Proud #ScalingPeaks ,23.0,46.0, USA ,2020,1,5,8
 embraced by the hopeful dawn a gardener sowing seeds of optimism tending to the blooms of a brighter tomorrow , Hopeful , DawnGardener , Instagram , #Hopeful #SeedsOfOptimism ,14.0,28.0, UK ,2022,7,17,6
 a playful escapade in the carnival of life carousel laughter and cotton candy dreams swirling in the joyous atmosphere , Playful , CarnivalDreamer , Facebook , #Playful #CarnivalEscapade ,24.0,48.0, Australia ,2018,8,22,17
 floating on clouds of inspiration an artist painting the sky with strokes of creativity creating a masterpiece of dreams , Inspired , SkyArtist , Twitter , #Inspired #CloudsOfCreativity ,18.0,36.0, India ,2021,12,8,14
 navigating the river of contentment a serene boat cruise through the tranquil waters of inner peace and acceptance , Contentment , RiverNavigator , Instagram , #Contentment #TranquilWaters ,20.0,40.0, Canada ,2019,4,27,9
 with empathy as a lantern wandering through the dark alleys of sorrow illuminating the path with compassion and care , Empathetic , LanternWanderer , Facebook , #Empathetic #LanternOfCompassion ,16.0,32.0, USA ,2023,9,3,21
 a free spirit soaring on the wings of dreams leaving trails of independence in the azure sky of boundless possibilities , Free-spirited , DreamSoarer , Twitter , #FreeSpirit #WingsOfDreams ,22.0,44.0, UK ,2020,6,10,10
 bathed in the golden hues of gratefulness a sunset of appreciation casting its warm glow on the landscapes of the heart , Grateful , SunsetAdmirer , Instagram , #Grateful #GoldenHues ,19.0,38.0, Australia ,2022,4,1,18
 confident strides in the dance of life a ballroom where selfassuredness leads twirling through challenges with grace , Confident , DanceStrider , Facebook , #Confident #DanceOfLife ,23.0,46.0, Canada ,2021,1,15,13
 hopeful whispers of wind carrying the promises of a brighter tomorrow a symphony of optimism in the air of possibilities , Hopeful , WindWhisperer , Twitter , #Hopeful #BrighterTomorrows ,15.0,30.0, India ,2023,5,6,7
 playfully juggling responsibilities a circus performer balancing the acts of work and joy tossing laughter into the air , Playful , JugglingArtist , Instagram , #Playful #JugglingResponsibilities ,25.0,50.0, USA ,2019,11,18,15
 whispering tales of inspiration to the stars a storyteller crafting constellations from the threads of imagination , Inspired , StarStoryteller , Facebook , #Inspired #TalesToTheStars ,14.0,28.0, UK ,2020,8,29,20
 charting a course through the waves of hopeful anticipation a sailor steering towards the shores of dreams yet unexplored , Hopeful , WaveNavigator , Twitter , #Hopeful #SailorOfDreams ,17.0,34.0, Australia ,2022,10,30,11
 a compassionate rain tears of empathy falling gently nurturing the seeds of kindness in the garden of human connections , Compassionate , RainNurturer , Instagram , #Compassionate #TearsOfEmpathy ,21.0,42.0, Canada ,2021,7,1,12
 proudly scaling the peaks of achievement a mountaineer conquering challenges and planting the flag of success , Proud , PeakConqueror , Twitter , #Proud #ScalingPeaks ,23.0,46.0, USA ,2020,1,5,8
 embraced by the hopeful dawn a gardener sowing seeds of optimism tending to the blooms of a brighter tomorrow , Hopeful , DawnGardener , Instagram , #Hopeful #SeedsOfOptimism ,14.0,28.0, UK ,2022,7,17,6
 a playful escapade in the carnival of life carousel laughter and cotton candy dreams swirling in the joyous atmosphere , Playful , CarnivalDreamer , Facebook , #Playful #CarnivalEscapade ,24.0,48.0, Australia ,2018,8,22,17
 floating on clouds of inspiration an artist painting the sky with strokes of creativity creating a masterpiece of dreams , Inspired , SkyArtist , Twitter , #Inspired #CloudsOfCreativity ,18.0,36.0, India ,2021,12,8,14
 navigating the river of contentment a serene boat cruise through the tranquil waters of inner peace and acceptance , Contentment , RiverNavigator , Instagram , #Contentment #TranquilWaters ,20.0,40.0, Canada ,2019,4,27,9
 with empathy as a lantern wandering through the dark alleys of sorrow illuminating the path with compassion and care , Empathetic , LanternWanderer , Facebook , #Empathetic #LanternOfCompassion ,16.0,32.0, USA ,2023,9,3,21
 a free spirit soaring on the wings of dreams leaving trails of independence in the azure sky of boundless possibilities , Free-spirited , DreamSoarer , Twitter , #FreeSpirit #WingsOfDreams ,22.0,44.0, UK ,2020,6,10,10
 bathed in the golden hues of gratefulness a sunset of appreciation casting its warm glow on the landscapes of the heart , Grateful , SunsetAdmirer , Instagram , #Grateful #GoldenHues ,19.0,38.0, Australia ,2022,4,1,18
 confident strides in the dance of life a ballroom where selfassuredness leads twirling through challenges with grace , Confident , DanceStrider , Facebook , #Confident #DanceOfLife ,23.0,46.0, Canada ,2021,1,15,13
 hopeful whispers of wind carrying the promises of a brighter tomorrow a symphony of optimism in the air of possibilities , Hopeful , WindWhisperer , Twitter , #Hopeful #BrighterTomorrows ,15.0,30.0, India ,2023,5,6,7
 playfully juggling responsibilities a circus performer balancing the acts of work and joy tossing laughter into the air , Playful , JugglingArtist , Instagram , #Playful #JugglingResponsibilities ,25.0,50.0, USA ,2019,11,18,15
 whispering tales of inspiration to the stars a storyteller crafting constellations from the threads of imagination , Inspired , StarStoryteller , Facebook , #Inspired #TalesToTheStars ,14.0,28.0, UK ,2020,8,29,20
 charting a course through the waves of hopeful anticipation a sailor steering towards the shores of dreams yet unexplored , Hopeful , WaveNavigator , Twitter , #Hopeful #SailorOfDreams ,17.0,34.0, Australia ,2022,10,30,11
 a compassionate rain tears of empathy falling gently nurturing the seeds of kindness in the garden of human connections , Compassionate , RainNurturer , Instagram , #Compassionate #TearsOfEmpathy ,21.0,42.0, Canada ,2021,7,1,12
 proudly scaling the peaks of achievement a mountaineer conquering challenges and planting the flag of success , Proud , PeakConqueror , Twitter , #Proud #ScalingPeaks ,23.0,46.0, USA ,2020,1,5,8
 embraced by the hopeful dawn a gardener sowing seeds of optimism tending to the blooms of a brighter tomorrow , Hopeful , DawnGardener , Instagram , #Hopeful #SeedsOfOptimism ,14.0,28.0, India ,2022,7,17,6
 a playful escapade in the carnival of life carousel laughter and cotton candy dreams swirling in the joyous atmosphere , Playful , CarnivalDreamer , Facebook , #Playful #CarnivalEscapade ,24.0,48.0, Australia ,2018,8,22,17
 drowning in the abyss of despair a heart shattered into fragments lost in the echoing silence of hopelessness , Despair , ShatteredHeart , Instagram , #Despair #EchoingSilence ,8.0,16.0, Canada ,2021,9,15,16
 bitterness festering like a venomous vine entwining the soul in a web of resentment poisoning the garden of peace , Bitterness , VenomousSoul , Facebook , #Bitterness #ResentmentWeb ,12.0,24.0, UK ,2019,3,8,14
 wandering through the desert of loneliness each step a heavy sigh mirages of connection shimmering but never materializing , Loneliness , DesertWanderer , Twitter , #Loneliness #MiragesOfConnection ,15.0,30.0, USA ,2017,7,20,11
 yearning for a touch thats not there echoes of a distant warmth haunting the heart in the cold embrace of solitude , Yearning , ColdEmbrace , Instagram , #Yearning #DistantWarmth ,10.0,20.0, Australia ,2020,11,2,19
 eyes wide open in the night fearful shadows dancing on the walls the mind a prisoner of imagined horrors , Fearful , NightPrisoner , Facebook , #Fearful #ImaginedHorrors ,18.0,36.0, India ,2022,5,12,2
 apprehensive steps on the tightrope of uncertainty a balancing act where the fall seems inevitable anxiety a constant companion , Apprehensive , TightropeWalker , Twitter , #Apprehensive #BalancingAct ,14.0,28.0, UK ,2023,4,8,13
 overwhelmed by the weight of the world atlas with trembling shoulders each responsibility a boulder in the landscape of exhaustion , Overwhelmed , AtlasBearer , Instagram , #Overwhelmed #BouldersOfExhaustion ,22.0,44.0, Canada ,2021,6,25,17
 jealousy a greeneyed monster lurking in the shadows casting a dark cloud over the sunshine of others success , Jealous , GreenMonster , Facebook , #Jealous #GreenEyedMonster ,16.0,32.0, USA ,2019,8,30,10
 devastated by the storm of betrayal the wreckage of trust scattered like debris a heart torn by the winds of broken promises , Devastated , StormSurvivor , Twitter , #Devastated #WindsOfBrokenPromises ,25.0,50.0, Australia ,2022,8,3,15
 frustrated fingers tapping on the keyboard a symphony of annoyance composing an unsolvable puzzle of unmet expectations , Frustrated , PuzzleComposer , Instagram , #Frustrated #UnsolvablePuzzle ,12.0,24.0, India ,2020,12,17,9
 envious eyes fixated on the gilded prize a heartache fueled by the painful desire for possessions that seem forever out of reach , Envious , GildedHeartache , Facebook , #Envious #GildedPrize ,20.0,40.0, USA ,2021,2,28,22
 dismissive glances a fortress built with indifference walls impenetrable to the pleas of understanding and recognition , Dismissive , IndifferentFort , Twitter , #Dismissive #ImpenetrableWalls ,14.0,28.0, UK ,2018,5,10,14
 shattered dreams lie on the floor like fragments of glass a mosaic of disappointment crafted by the hands of frustration , Frustrated , DreamMosaic , Instagram , #Frustrated #MosaicOfDisappointment ,15.0,30.0, Canada ,2022,1,7,11
 loneliness a silent companion in the night the only echo in the chamber of solitude a hearts solitary nocturne , Loneliness , NocturnalEcho , Facebook , #Loneliness #SolitaryNocturne ,18.0,36.0, Australia ,2019,9,19,3
 fearful whispers in the dark the mind haunted by the specter of the unknown shadows dancing to the rhythm of anxietys tune , Fearful , DarkWhispers , Twitter , #Fearful #SpecterOfTheUnknown ,13.0,26.0, UK ,2023,7,14,23
 bitterness a bitter aftertaste lingering on the tongue each word a reminder of wounds that refuse to heal with the passing of time , Bitterness , LingeringTaste , Instagram , #Bitterness #BitterAftertaste ,10.0,20.0, India ,2020,4,5,16
 overwhelmed by the cacophony of expectations a drowning soul in the tempest of pressure struggling to stay afloat , Overwhelmed , TempestSurvivor , Facebook , #Overwhelmed #DrowningSoul ,20.0,40.0, USA ,2021,11,29,8
 jealousy a venom that seeps through the veins poisoning the heart and turning it into a breeding ground for discontent , Jealous , VenomousHeart , Twitter , #Jealous #HeartOfDiscontent ,16.0,32.0, Australia ,2019,12,12,17
 devastated by the revelation of betrayal the trust shattered like fragile glass leaving shards of pain in its wake , Devastated , FragileTrust , Instagram , #Devastated #ShatteredTrust ,25.0,50.0, Canada ,2022,5,20,14
 frustrated attempts to mend a broken connection the threads of understanding slipping through the fingers like grains of sand , Frustrated , BrokenThreads , Facebook , #Frustrated #SlippingThreads ,14.0,28.0, UK ,2020,9,3,12
 envious gazes cast upon the podium of success a bitter pill swallowed the taste lingering as a constant reminder of unattained heights , Envious , SuccessPill , Twitter , #Envious #BitterPill ,20.0,40.0, USA ,2021,2,10,19
 dismissive gestures a curtain drawn to shield the vulnerability a stage where emotions take a backseat to the performance of indifference , Dismissive , CurtainShield , Instagram , #Dismissive #IndifferencePerformance ,12.0,24.0, Australia ,2018,8,18,14
 despair like a heavy fog enveloping every thought blurring the path ahead a journey in the labyrinth of utter hopelessness , Despair , FoggyLabyrinth , Facebook , #Despair #LabyrinthOfHopelessness ,8.0,16.0, Canada ,2022,2,28,21
 bitterness a bitter chill in the air freezing moments into icicles of resentment that dangle precariously over the landscape of memory , Bitterness , IcyResentment , Twitter , #Bitterness #IciclesOfResentment ,15.0,30.0, UK ,2019,10,15,10
 loneliness a solitary moon in a starless sky casting a cold glow on the landscape of isolation where echoes bounce in empty spaces , Loneliness , SolitaryMoon , Instagram , #Loneliness #StarlessSky ,18.0,36.0, USA ,2017,12,1,18
 yearning for the warmth of a vanished sun a heartache painted in the hues of a sunset that never graced the horizon , Yearning , VanishedSunset , Facebook , #Yearning #HuesOfSunset ,10.0,20.0, Australia ,2020,4,18,16
 fearful eyes scanning the shadows a prisoner of the night terrorized by the lurking monsters born from the minds darkest corners , Fearful , NightPrisoner , Twitter , #Fearful #LurkingMonsters ,18.0,36.0, India ,2023,1,7,3
 apprehensive whispers in the wind a forecast of uncertainty the minds weather vane spinning wildly in the storm of doubt , Apprehensive , WindWhisperer , Instagram , #Apprehensive #StormOfDoubt ,14.0,28.0, Canada ,2021,6,10,10
 overwhelmed by the maze of expectations a minotaur of pressure lurking in the labyrinth waiting to devour the spirit of resilience , Overwhelmed , MazeExplorer , Facebook , #Overwhelmed #MinotaurOfPressure ,22.0,44.0, USA ,2020,2,22,15
 jealousy a festering wound the pain intensifying with each glance at the garden of others achievements blooming beyond the fence , Jealous , WoundedGarden , Twitter , #Jealous #BloomingAchievements ,16.0,32.0, UK ,2018,3,17,14
 devastated a heart in ruins the echoes of shattered dreams reverberating in the chambers a requiem for what once was whole , Devastated , RuinedHeart , Instagram , #Devastated #EchoesOfShatteredDreams ,25.0,50.0, Australia ,2022,10,28,11
 frustrated attempts to untangle the knot of confusion the threads of understanding slipping further into the labyrinth of miscommunication , Frustrated , KnotUntangler , Facebook , #Frustrated #LabyrinthOfMiscommunication ,14.0,28.0, India ,2020,11,1,12
 envious eyes locked on the treasure chest of opportunities a heartache fueled by the desire for keys that seem forever elusive , Envious , ElusiveKeys , Twitter , #Envious #DesireForKeys ,20.0,40.0, USA ,2021,1,15,22
 dismissive gestures a curtain drawn to shield the vulnerability a stage where emotions take a backseat to the performance of indifference , Dismissive , IndifferentFort , Instagram , #Dismissive #IndifferencePerformance ,12.0,24.0, Australia ,2018,8,18,14
 shattered dreams lie on the floor like fragments of glass a mosaic of disappointment crafted by the hands of frustration , Frustrated , DreamMosaic , Twitter , #Frustrated #MosaicOfDisappointment ,15.0,30.0, Canada ,2022,1,7,11
 loneliness a silent companion in the night the only echo in the chamber of solitude a hearts solitary nocturne , Loneliness , NocturnalEcho , Facebook , #Loneliness #SolitaryNocturne ,18.0,36.0, Australia ,2019,9,19,3
awestruck by the breathtaking sunrise over the mountains      , Awe           , NatureAdmirer  , Instagram , #Awe #BreathtakingSunrise                   ,28.0,55.0, USA               ,2022,4,3,6
navigating through the challenges with determination          , Determination , GoalPursuer    , Twitter  , #Determination #Challenges                  ,15.0,30.0, Canada            ,2023,10,12,10
nostalgia hits while flipping through an old photo album     , Nostalgia      , MemoryLane     , Facebook , #Nostalgia #OldMemories                     ,22.0,45.0, UK                ,2019,6,28,19
